http://linked.data.gov.au/def/cofog-a/1051#Housing#http://linked.data.gov.au/def/cofog/1060#Housing  (IS)#0
http://linked.data.gov.au/def/cofog-a/1051#Housing#http://linked.data.gov.au/def/cofog/0473#Tourism  (CS)#4
http://linked.data.gov.au/def/cofog-a/06#Housing And Community Amenities#http://linked.data.gov.au/def/cofog/06#Housing and community amenities#4
http://linked.data.gov.au/def/cofog-a/061#Housing development#http://linked.data.gov.au/def/cofog/061#Housing development#0
http://linked.data.gov.au/def/cofog-a/061#Housing development#http://linked.data.gov.au/def/cofog/0610#Housing development  (CS)#0
http://linked.data.gov.au/def/cofog-a/0611#Housing development#http://linked.data.gov.au/def/cofog/061#Housing development#0
http://linked.data.gov.au/def/cofog-a/0611#Housing development#http://linked.data.gov.au/def/cofog/0610#Housing development  (CS)#0
http://linked.data.gov.au/def/cofog-a/0331#Law courts#http://linked.data.gov.au/def/cofog/033#Law courts#0
http://linked.data.gov.au/def/cofog-a/0331#Law courts#http://linked.data.gov.au/def/cofog/0330#Law courts  (CS)#0
http://linked.data.gov.au/def/cofog-a/033#Law courts#http://linked.data.gov.au/def/cofog/033#Law courts#0
http://linked.data.gov.au/def/cofog-a/033#Law courts#http://linked.data.gov.au/def/cofog/0330#Law courts  (CS)#0
http://linked.data.gov.au/def/cofog-a/0442#Manufacturing#http://linked.data.gov.au/def/cofog/0442#Manufacturing  (CS)#0
http://linked.data.gov.au/def/cofog-a/0733#Medical and maternity centre services#http://linked.data.gov.au/def/cofog/0733#Medical and maternity centre services  (IS)#0
http://linked.data.gov.au/def/cofog-a/071#Medical products, appliances and equipment#http://linked.data.gov.au/def/cofog/071#Medical products, appliances and equipment#0
http://linked.data.gov.au/def/cofog-a/0211#Military defence#http://linked.data.gov.au/def/cofog/021#Military defence#0
http://linked.data.gov.au/def/cofog-a/0211#Military defence#http://linked.data.gov.au/def/cofog/0210#Military defence  (CS)#0
http://linked.data.gov.au/def/cofog-a/0441#Mining of mineral resources other than mineral fuels#http://linked.data.gov.au/def/cofog/0441#Mining of mineral resources other than mineral fuels  (CS)#0
http://linked.data.gov.au/def/cofog-a/044#Mining, manufacturing and construction#http://linked.data.gov.au/def/cofog/044#Mining, manufacturing and construction#0
http://linked.data.gov.au/def/cofog-a/044#Mining, manufacturing and construction#http://linked.data.gov.au/def/cofog/0484#R&D Mining, manufacturing and construction  (CS)#4
http://linked.data.gov.au/def/cofog-a/0464#Multipurpose development projects#http://linked.data.gov.au/def/cofog/0474#Multi-purpose development projects  (CS)#1
http://linked.data.gov.au/def/cofog-a/0436#Non-electric energy#http://linked.data.gov.au/def/cofog/0436#Non-electric energy  (CS)#0
http://linked.data.gov.au/def/cofog-a/0433#Nuclear fuel#http://linked.data.gov.au/def/cofog/0433#Nuclear fuel  (CS)#0
http://linked.data.gov.au/def/cofog-a/0734#Nursing and convalescent home services#http://linked.data.gov.au/def/cofog/0734#Nursing and convalescent home services  (IS)#0
http://linked.data.gov.au/def/cofog-a/101#Old age#http://linked.data.gov.au/def/cofog/102#Old age#0
http://linked.data.gov.au/def/cofog-a/101#Old age#http://linked.data.gov.au/def/cofog/1020#Old age  (IS)#0
http://linked.data.gov.au/def/cofog-a/1011#Old age#http://linked.data.gov.au/def/cofog/102#Old age#0
http://linked.data.gov.au/def/cofog-a/1011#Old age#http://linked.data.gov.au/def/cofog/1020#Old age  (IS)#0
http://linked.data.gov.au/def/cofog-a/0434#Other fuels#http://linked.data.gov.au/def/cofog/0434#Other fuels  (CS)#0
http://linked.data.gov.au/def/cofog-a/046#Other industries#http://linked.data.gov.au/def/cofog/047#Other industries#0
http://linked.data.gov.au/def/cofog-a/046#Other industries#http://linked.data.gov.au/def/cofog/0487#R&D Other industries  (CS)#4
